transaction_id,customer_age,customer_tenure_days,product_category,unit_price,quantity,discount_pct,total_amount,is_returning_customer,payment_method,day_of_week,is_fraud
1,42,417,Clothing,26.05,2,10.6,46.58,0,UPI,Thu,0
2,26,264,Beauty,35.67,4,0.9,141.4,0,UPI,Sat,0
3,47,110,Books,18.99,5,12.2,83.37,0,PayPal,Wed,0
4,49,357,Sports,69.01,2,39.3,83.78,1,Debit Card,Sun,0
5,18,50,Clothing,54.32,4,26.1,160.57,0,Debit Card,Mon,0
6,22,25,Clothing,63.1,2,8.8,115.09,0,PayPal,Fri,0
7,40,1006,Clothing,49.15,3,3.7,141.99,1,COD,Thu,0
8,34,112,Beauty,44.48,1,22.4,34.52,0,Credit Card,Sat,0
9,38,931,Electronics,357.37,2,14.0,614.68,0,UPI,Fri,0
10,28,71,Sports,65.68,4,16.0,220.68,0,Credit Card,Tue,0
11,49,120,Home,107.21,3,18.6,261.81,0,Debit Card,Sat,0
12,47,83,Beauty,24.68,2,35.5,31.84,0,Debit Card,Sun,0
13,39,217,Beauty,21.23,5,17.0,88.1,0,Credit Card,Sat,0
14,52,778,Home,149.37,3,3.6,431.98,0,Credit Card,Wed,0
15,44,941,Beauty,37.08,5,14.9,157.78,0,UPI,Tue,0
16,28,267,Clothing,57.23,3,10.4,153.83,1,COD,Mon,0
17,42,443,Beauty,24.4,1,8.0,22.45,0,COD,Sat,0
18,26,41,Beauty,52.96,2,3.7,102.0,0,Credit Card,Tue,0
19,49,37,Home,89.68,3,2.6,262.04,0,Credit Card,Fri,0
20,37,664,Electronics,166.17,1,22.2,129.28,0,Credit Card,Sat,0
21,36,208,Sports,49.09,2,41.9,57.04,1,PayPal,Thu,0
22,30,567,Sports,103.99,4,16.9,345.66,0,Credit Card,Fri,0
23,53,216,Books,21.2,2,28.2,30.44,0,PayPal,Wed,0
24,36,309,Sports,46.13,4,27.5,133.78,0,Credit Card,Thu,0
25,33,389,Home,245.21,2,32.5,331.03,0,PayPal,Thu,0
26,34,245,Clothing,62.55,6,11.1,333.64,0,Credit Card,Fri,0
27,44,201,Home,73.23,2,20.0,117.17,0,COD,Fri,0
28,42,200,Electronics,150.67,4,3.4,582.19,0,Credit Card,Thu,0
29,43,59,Home,53.12,2,7.3,98.48,0,Credit Card,Mon,0
30,43,484,Books,21.62,3,4.1,62.2,1,Credit Card,Thu,0
31,64,66,Electronics,283.85,2,21.5,445.64,0,Credit Card,Thu,0
32,33,94,Clothing,76.57,2,15.1,130.02,0,PayPal,Fri,0
33,32,218,Books,5.68,6,18.8,27.67,0,Debit Card,Tue,0
34,28,220,Beauty,18.87,2,25.2,28.23,1,Debit Card,Sun,0
35,45,192,Sports,57.54,3,32.9,115.83,0,Debit Card,Sun,0
36,52,697,Clothing,119.38,2,45.0,131.32,0,PayPal,Sat,0
37,37,142,Beauty,40.91,2,45.0,45.0,0,PayPal,Wed,0
38,28,835,Electronics,250.66,5,34.7,818.4,1,Debit Card,Fri,0
39,28,355,Electronics,143.29,4,45.0,315.24,1,Credit Card,Fri,0
40,46,326,Books,13.37,3,13.6,34.66,0,Credit Card,Sat,0
41,47,380,Home,96.63,4,15.0,328.54,0,Credit Card,Thu,0
42,45,94,Beauty,28.97,3,45.0,47.8,0,Credit Card,Thu,0
43,30,368,Clothing,40.97,5,7.8,188.87,1,Debit Card,Sat,0
44,41,660,Electronics,192.57,2,21.0,304.26,0,COD,Thu,0
45,39,452,Home,69.86,5,2.4,340.92,1,Credit Card,Sat,0
46,41,38,Electronics,156.25,2,3.7,300.94,0,COD,Sat,1
47,48,190,Clothing,73.18,2,32.8,98.35,0,PayPal,Fri,0
48,41,11,Electronics,161.31,3,21.7,378.92,0,Credit Card,Wed,0
49,46,179,Clothing,40.85,4,13.7,141.01,0,UPI,Sat,0
50,39,62,Beauty,29.59,1,27.2,21.54,0,PayPal,Fri,0
51,41,246,Electronics,281.7,5,12.2,1236.66,0,PayPal,Sat,0
52,46,13,Books,18.16,5,23.2,69.73,0,Credit Card,Wed,0
53,21,1091,Home,116.54,5,22.5,451.59,1,Credit Card,Wed,0
54,34,157,Home,71.07,4,7.3,263.53,0,UPI,Mon,0
55,32,577,Home,81.44,1,38.4,50.17,1,PayPal,Fri,0
56,30,99,Books,27.19,3,26.4,60.04,0,Debit Card,Sat,0
57,35,509,Beauty,21.37,1,8.1,19.64,0,UPI,Fri,0
