transaction_id,customer_age,customer_tenure_days,product_category,unit_price,quantity,discount_pct,total_amount,is_returning_customer,payment_method,day_of_week,is_fraud
1,47,247,Electronics,49.34,3,18.8,129.28,0,Debit Card,Wed,0
2,38,120,Sports,73.43,2,44.0,77.38,1,Credit Card,Thu,0
3,42,346,Electronics,15.51,2,2.8,25.67,0,COD,Wed,0
4,37,389,Electronics,36.63,2,38.3,50.5,1,Debit Card,Sun,0
5,35,63,Electronics,174.35,3,1.6,561.33,0,PayPal,Mon,0
6,32,213,Home,55.26,4,9.3,227.26,0,Credit Card,Mon,0
7,44,832,Electronics,314.11,2,45.0,340.85,1,Debit Card,Wed,0
8,43,257,Clothing,23.21,5,9.3,83.96,0,Debit Card,Sun,0
9,37,623,Sports,119.63,4,6.6,358.03,0,Debit Card,Mon,0
10,35,196,Beauty,18.26,2,45.0,14.03,0,Debit Card,Sat,0
11,34,434,Electronics,243.04,2,28.4,246.06,0,Debit Card,Tue,0
12,35,133,Electronics,86.89,1,45.0,44.28,0,PayPal,Wed,0
13,23,23,Books,62.21,4,18.3,180.86,0,Credit Card,Sat,0
14,27,113,Electronics,35.3,1,13.5,39.51,0,Credit Card,Fri,0
15,49,56,Clothing,89.92,2,45.0,82.84,0,PayPal,Sat,0
16,32,9,Books,28.83,3,21.2,55.09,0,Debit Card,Tue,0
17,35,151,Home,189.2,3,12.2,563.49,0,Debit Card,Tue,0
18,53,512,Electronics,177.45,3,21.2,352.78,0,UPI,Sat,0
19,20,450,Sports,31.01,3,11.4,71.82,1,UPI,Sat,0
20,54,170,Beauty,24.13,2,1.9,46.08,0,Debit Card,Wed,0
21,42,56,Sports,52.06,1,22.0,55.27,0,Credit Card,Fri,0
22,24,389,Electronics,18.27,3,3.4,51.33,0,Credit Card,Fri,0
23,30,363,Sports,26.71,2,41.4,43.48,0,COD,Tue,0
24,28,97,Electronics,99.12,2,22.5,132.14,0,Credit Card,Mon,0
25,25,835,Beauty,59.02,1,10.8,51.48,0,Credit Card,Sat,0
26,45,699,Sports,257.3,1,26.8,172.39,0,Credit Card,Mon,0
27,40,899,Clothing,74.7,2,0.7,178.54,1,PayPal,Sun,0
28,25,283,Beauty,77.85,2,30.3,128.0,0,Credit Card,Fri,0
29,33,88,Home,28.54,3,15.6,57.1,0,Credit Card,Sat,0
30,24,183,Home,68.71,4,15.7,342.41,0,Credit Card,Sun,0
31,23,466,Clothing,110.24,1,11.7,96.65,0,Credit Card,Wed,0
32,37,878,Sports,70.9,3,2.9,220.09,1,PayPal,Wed,0
33,34,577,Clothing,89.29,3,13.7,223.6,0,Credit Card,Sun,0
34,55,28,Home,32.31,3,1.7,85.93,0,PayPal,Tue,0
35,46,987,Electronics,109.94,2,7.5,259.71,1,Debit Card,Tue,0
36,36,1091,Sports,147.47,3,20.1,227.01,0,Credit Card,Sat,0
37,50,324,Home,124.42,2,20.8,130.02,1,PayPal,Sat,0
38,32,1314,Sports,181.92,2,18.8,180.4,0,Debit Card,Fri,0
39,68,46,Home,239.16,4,9.1,775.12,0,Debit Card,Sat,0
40,53,90,Clothing,58.35,2,30.9,76.58,1,Credit Card,Thu,0
41,36,163,Clothing,24.98,4,40.1,58.52,0,PayPal,Tue,0
42,50,447,Sports,79.66,2,15.1,125.22,0,Debit Card,Fri,0
43,59,210,Beauty,7.08,3,14.3,21.45,0,Credit Card,Wed,0
44,56,457,Clothing,37.52,1,1.3,55.58,0,Debit Card,Sat,0
45,46,63,Sports,279.99,1,2.9,507.93,0,PayPal,Thu,0
46,35,739,Beauty,15.52,1,22.3,5.75,0,COD,Mon,0
47,45,87,Books,30.33,2,24.7,51.95,0,Credit Card,Sat,0
48,53,145,Clothing,49.47,3,14.0,107.79,0,Credit Card,Sun,0
49,53,82,Electronics,23.9,3,26.7,40.09,0,Credit Card,Sat,0
50,44,401,Beauty,10.17,2,21.5,11.95,0,Credit Card,Sun,0
51,35,358,Electronics,94.51,3,37.0,160.11,0,Debit Card,Wed,0
52,31,189,Clothing,36.56,3,2.0,139.55,1,Debit Card,Thu,0
53,41,38,Books,50.14,2,5.9,122.17,0,Debit Card,Wed,0
54,46,211,Home,50.65,2,20.4,92.07,0,PayPal,Sat,0
55,52,792,Electronics,107.8,4,36.2,240.96,1,Credit Card,Sun,0
56,56,233,Clothing,63.7,1,8.7,57.47,0,UPI,Thu,0
57,21,474,Electronics,33.04,5,25.5,140.25,0,Debit Card,Fri,0
58,25,187,Sports,292.43,4,25.0,854.9,0,UPI,Sun,0
59,27,18,Home,226.67,2,18.6,394.91,0,Credit Card,Wed,0
60,40,755,Home,48.71,2,23.6,73.49,1,PayPal,Tue,0
61,27,99,Clothing,232.62,3,29.0,445.42,0,UPI,Fri,0
62,61,552,Electronics,96.54,1,5.4,126.3,0,Debit Card,Thu,0
63,51,172,Electronics,113.41,3,35.2,149.49,0,PayPal,Sat,0
64,18,418,Beauty,12.42,5,4.1,71.48,0,PayPal,Thu,0
65,39,241,Clothing,50.51,7,22.1,417.18,0,COD,Fri,0
66,42,41,Beauty,61.7,1,21.4,85.56,0,Credit Card,Tue,0
67,46,91,Sports,436.63,1,11.2,578.87,1,Debit Card,Tue,0
68,41,314,Beauty,108.52,3,24.6,239.03,0,Credit Card,Wed,0
69,42,891,Electronics,24.4,3,15.8,60.94,1,Credit Card,Sat,0
70,26,496,Clothing,53.13,3,5.9,142.76,0,Credit Card,Tue,0
71,50,32,Beauty,55.47,4,9.1,260.11,0,PayPal,Wed,0
72,57,179,Books,44.64,2,6.6,105.56,0,COD,Tue,0
